FID                     ,ID          ,GEOMETRIE                                     ,STANDORTNAME                                       ,HOMEPAGE                      ,BEMERKUNG
wlanhotspot.gisdb.37366 ,gisdb.37366 ,POINT (13.00539148942703 47.81019615705138)   ,Salzburg surft Hotspot - SWH Taxham                ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37367 ,gisdb.37367 ,POINT (13.021817535399212 47.8241462764178)   ,Salzburg surft Hotspot - SWH Liefering             ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37368 ,gisdb.37368 ,POINT (13.048104501836294 47.82314205794925)  ,Salzburg surft Hotspot - SWH Itzling               ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37369 ,gisdb.37369 ,POINT (13.060087135964494 47.79063964566402)  ,Salzburg surft Hotspot - SWH Hellbrunn             ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37370 ,gisdb.37370 ,POINT (13.027040198811637 47.81359944032846)  ,Salzburg surft Hotspot - Stadt-Bibliothek Salzburg ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37371 ,gisdb.37371 ,POINT (13.026458422130988 47.830670036636015) ,Salzburg surft Hotspot - Sportzentrum Nord         ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37372 ,gisdb.37372 ,POINT (13.067881930834691 47.77668987072965)  ,Salzburg surft Hotspot - Sporthalle Alpenstraße    ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37373 ,gisdb.37373 ,POINT (13.063694996283202 47.76378997534246)  ,Salzburg surft Hotspot - Schloss Hellbrunn         ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37374 ,gisdb.37374 ,POINT (13.027351340015988 47.81331845653042)  ,Salzburg surft Hotspot - Panorama-Bar              ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37375 ,gisdb.37375 ,POINT (13.047768184887955 47.79882736625742)  ,Salzburg surft Hotspot - Mozartplatz               ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37376 ,gisdb.37376 ,POINT (13.043215698795352 47.80530784532208)  ,Salzburg surft Hotspot - Mirabellplatz             ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37377 ,gisdb.37377 ,POINT (13.04173861967158 47.805181589735284)  ,Salzburg surft Hotspot - Mirabellgarten            ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37378 ,gisdb.37378 ,POINT (13.041843897148611 47.80545824867901)  ,Salzburg surft Hotspot - Marmorsaal                ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37379 ,gisdb.37379 ,POINT (13.04687232571819 47.797155336215546)  ,Salzburg surft Hotspot - Kapitelplatz              ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37380 ,gisdb.37380 ,POINT (13.051485704049407 47.796780563269934) ,Salzburg surft Hotspot - Kajetanerplatz            ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37381 ,gisdb.37381 ,POINT (13.006419472691158 47.81086874809224)  ,Salzburg surft Hotspot - JUZ Taxham                ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37382 ,gisdb.37382 ,POINT (13.026203359480412 47.814989965388)    ,Salzburg surft Hotspot - JUZ Lehen                 ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37383 ,gisdb.37383 ,POINT (13.019546104051273 47.7879726484369)   ,Salzburg surft Hotspot - JUZ Komm                  ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37384 ,gisdb.37384 ,POINT (13.023505073079924 47.82204285530226)  ,Salzburg surft Hotspot - JUZ JUKI                  ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37385 ,gisdb.37385 ,POINT (13.045909724584204 47.80642108808184)  ,Salzburg surft Hotspot - JUZ IGLU                  ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37386 ,gisdb.37386 ,POINT (13.066092953864313 47.80728037620391)  ,Salzburg surft Hotspot - JUZ get2gether            ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37387 ,gisdb.37387 ,POINT (13.03014624492751 47.81022025024365)   ,Salzburg surft Hotspot - Inge-Morath-Platz         ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37388 ,gisdb.37388 ,POINT (13.0718596212383 47.776079166804635)   ,Salzburg surft Hotspot - GSZ Süd                   ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37389 ,gisdb.37389 ,POINT (13.040467294404086 47.82292168049279)  ,Salzburg surft Hotspot - CoWorkingSpace Salzburg   ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37390 ,gisdb.37390 ,POINT (13.045649301329423 47.824700936393306) ,Salzburg surft Hotspot - BWS Itzling               ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37391 ,gisdb.37391 ,POINT (13.061350832185434 47.80880076298528)  ,Salzburg surft Hotspot - BWS Gnigl                 ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37392 ,gisdb.37392 ,POINT (13.080076975708643 47.78343372584445)  ,Salzburg surft Hotspot - BWS Aigen                 ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37393 ,gisdb.37393 ,POINT (13.044662202159573 47.80210641626817)  ,Salzburg surft Hotspot - BRICKS Music-Bar          ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37394 ,gisdb.37394 ,POINT (13.040650105287133 47.80948722727081)  ,Salzburg surft Hotspot - bivak.mobil               ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37395 ,gisdb.37395 ,POINT (13.04471316610028 47.80007054137443)   ,Salzburg surft Hotspot - Altes Rathaus             ,https://www.salzburgsurft.at/ ,
